ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
154114,Gujarat,Surat,Locality_435,Apartment,3,2522,204.84,0.08,2011,Furnished,1,6,14,7,1,High,Yes,Yes,"Clubhouse, Playground",South,Owner,Ready_to_Move
241505,Uttarakhand,Dehradun,Locality_340,Apartment,4,1016,88.65,0.09,2018,Semi-furnished,14,4,7,8,10,Medium,No,Yes,"Garden, Playground, Gym",North,Builder,Ready_to_Move
145305,Bihar,Patna,Locality_234,Villa,1,2610,80.8,0.03,1996,Unfurnished,11,27,29,2,1,Low,Yes,No,"Gym, Pool, Garden, Playground",South,Owner,Under_Construction
203669,Andhra Pradesh,Vijayawada,Locality_324,Apartment,4,2409,191.71,0.08,2018,Semi-furnished,7,26,7,5,8,High,No,No,"Pool, Playground, Gym, Garden",West,Owner,Under_Construction
183096,Chhattisgarh,Bilaspur,Locality_148,Independent House,4,4485,350.03,0.08,1997,Unfurnished,27,21,28,1,2,Low,Yes,Yes,"Clubhouse, Playground, Garden, Gym",West,Broker,Under_Construction
114674,Uttarakhand,Dehradun,Locality_379,Independent House,3,1492,189.83,0.13,2012,Semi-furnished,19,11,13,10,8,High,No,No,"Pool, Garden, Clubhouse, Gym, Playground",East,Owner,Ready_to_Move
222301,Madhya Pradesh,Indore,Locality_186,Apartment,3,4818,170.23,0.04,2021,Furnished,17,30,4,8,7,Medium,Yes,No,Gym,North,Builder,Ready_to_Move
2106,Tamil Nadu,Coimbatore,Locality_268,Independent House,1,1479,497.8,0.34,2003,Furnished,20,10,22,9,1,Medium,Yes,Yes,"Playground, Pool",East,Owner,Under_Construction
243792,Karnataka,Bangalore,Locality_472,Apartment,4,4922,191.42,0.04,2001,Furnished,5,7,24,4,4,Medium,No,Yes,"Garden, Gym, Pool",West,Owner,Ready_to_Move
48476,Haryana,Faridabad,Locality_188,Apartment,4,3057,441.39,0.14,2017,Furnished,3,7,8,10,4,Low,No,Yes,"Playground, Garden, Pool, Gym, Clubhouse",West,Owner,Under_Construction
110143,Assam,Guwahati,Locality_196,Apartment,2,3408,474.03,0.14,1999,Semi-furnished,23,25,26,4,5,High,Yes,No,"Playground, Clubhouse, Gym, Pool, Garden",West,Owner,Under_Construction
223303,Andhra Pradesh,Vijayawada,Locality_271,Villa,2,4650,340.44,0.07,2023,Furnished,18,10,2,2,5,High,No,No,Pool,South,Owner,Under_Construction
151957,Delhi,Dwarka,Locality_28,Independent House,2,3469,193.08,0.06,1991,Semi-furnished,17,23,34,5,2,High,No,No,"Gym, Clubhouse, Pool",South,Owner,Under_Construction
2308,Kerala,Kochi,Locality_236,Apartment,4,1015,19.92,0.02,1996,Semi-furnished,11,3,29,8,7,Medium,Yes,No,"Garden, Gym, Pool, Playground",South,Owner,Ready_to_Move
17795,Haryana,Gurgaon,Locality_454,Apartment,5,4569,452.96,0.1,2011,Unfurnished,14,18,14,10,1,Low,Yes,Yes,"Pool, Gym",North,Owner,Under_Construction
153162,Madhya Pradesh,Indore,Locality_273,Apartment,1,2994,343.09,0.11,2008,Unfurnished,19,5,17,5,9,Medium,Yes,Yes,"Gym, Garden, Playground, Clubhouse",South,Builder,Ready_to_Move
200500,Chhattisgarh,Bilaspur,Locality_379,Apartment,4,2334,201.07,0.09,2006,Unfurnished,9,17,19,3,8,High,No,Yes,"Gym, Playground, Pool, Garden, Clubhouse",South,Owner,Under_Construction
118241,Uttar Pradesh,Lucknow,Locality_178,Villa,4,2441,412.91,0.17,2001,Furnished,24,4,24,3,1,Medium,No,No,"Pool, Gym",East,Owner,Under_Construction
38006,Chhattisgarh,Bilaspur,Locality_120,Apartment,2,559,461.29,0.83,2014,Furnished,27,24,11,2,6,Low,Yes,Yes,"Garden, Clubhouse, Playground, Pool, Gym",South,Broker,Ready_to_Move
245204,Assam,Guwahati,Locality_14,Villa,2,2521,90.19,0.04,1995,Furnished,24,11,30,2,2,Low,Yes,Yes,"Pool, Playground, Clubhouse",South,Owner,Ready_to_Move
123707,Gujarat,Surat,Locality_105,Villa,3,731,280.03,0.38,2019,Unfurnished,20,19,6,2,10,High,Yes,Yes,Garden,North,Builder,Ready_to_Move
22999,Chhattisgarh,Raipur,Locality_53,Independent House,4,883,28.27,0.03,2014,Furnished,28,26,11,10,9,High,Yes,Yes,"Playground, Garden, Pool",East,Owner,Ready_to_Move
156319,Assam,Guwahati,Locality_170,Independent House,4,2058,173.01,0.08,2011,Unfurnished,10,8,14,9,7,Medium,No,Yes,"Playground, Garden, Pool",East,Builder,Under_Construction
162923,Telangana,Hyderabad,Locality_390,Villa,2,1505,300.29,0.2,1992,Unfurnished,19,8,33,10,4,Low,No,Yes,"Pool, Playground, Gym, Garden, Clubhouse",West,Owner,Under_Construction
155744,Chhattisgarh,Bilaspur,Locality_154,Villa,5,2636,216.57,0.08,2016,Furnished,4,6,9,1,6,Medium,Yes,No,Gym,East,Broker,Under_Construction
116504,Chhattisgarh,Bilaspur,Locality_437,Apartment,1,4956,437.79,0.09,1998,Semi-furnished,14,4,27,10,2,Medium,No,Yes,"Gym, Garden",North,Builder,Under_Construction
8443,Odisha,Cuttack,Locality_460,Apartment,1,4090,115.66,0.03,1991,Furnished,0,9,34,8,5,High,Yes,No,"Clubhouse, Pool, Garden, Playground, Gym",East,Owner,Ready_to_Move
132859,West Bengal,Durgapur,Locality_240,Independent House,3,2339,71.05,0.03,2000,Unfurnished,15,15,25,1,3,High,No,No,"Clubhouse, Pool, Garden, Playground",East,Owner,Ready_to_Move
44929,Bihar,Gaya,Locality_178,Villa,3,3548,263.21,0.07,1993,Unfurnished,7,24,32,9,7,Medium,No,Yes,Garden,West,Broker,Under_Construction
24278,Maharashtra,Mumbai,Locality_441,Villa,5,594,436.96,0.74,2006,Semi-furnished,4,14,19,3,1,High,Yes,No,"Playground, Gym, Clubhouse",East,Broker,Under_Construction
12683,Jharkhand,Jamshedpur,Locality_440,Apartment,2,2110,17.89,0.01,1994,Semi-furnished,23,2,31,6,7,High,Yes,No,"Gym, Pool, Garden, Clubhouse",North,Builder,Under_Construction
221225,Assam,Silchar,Locality_358,Apartment,5,2182,321.7,0.15,2021,Furnished,6,5,4,1,10,Low,No,Yes,"Gym, Pool, Clubhouse",East,Broker,Under_Construction
17063,Punjab,Amritsar,Locality_412,Apartment,3,4651,73.87,0.02,2013,Semi-furnished,12,15,12,6,7,Low,No,Yes,"Pool, Playground, Garden",East,Owner,Under_Construction
173671,Maharashtra,Mumbai,Locality_382,Apartment,2,3523,54.39,0.02,1996,Unfurnished,19,7,29,10,4,Low,Yes,Yes,Clubhouse,West,Builder,Under_Construction
137557,Rajasthan,Jaipur,Locality_271,Apartment,3,2125,242.0,0.11,1993,Semi-furnished,11,20,32,8,7,High,No,No,"Gym, Clubhouse, Pool, Playground",West,Builder,Ready_to_Move
157144,Tamil Nadu,Chennai,Locality_225,Apartment,5,1192,17.12,0.01,2002,Unfurnished,26,19,23,6,2,Low,No,No,"Clubhouse, Pool",North,Broker,Ready_to_Move
61024,Haryana,Gurgaon,Locality_324,Independent House,5,2271,345.33,0.15,2007,Furnished,20,11,18,2,6,Low,Yes,Yes,Gym,North,Owner,Under_Construction
14686,Maharashtra,Pune,Locality_102,Villa,5,872,307.2,0.35,2009,Unfurnished,20,21,16,10,7,Medium,Yes,Yes,"Pool, Playground, Garden, Clubhouse, Gym",North,Builder,Under_Construction
187382,Odisha,Bhubaneswar,Locality_444,Apartment,4,3531,107.12,0.03,1998,Unfurnished,28,5,27,6,10,Medium,No,Yes,"Clubhouse, Gym, Garden, Pool",North,Owner,Ready_to_Move
176314,Uttar Pradesh,Lucknow,Locality_223,Independent House,5,780,495.48,0.64,1998,Semi-furnished,16,2,27,5,10,Medium,No,Yes,"Pool, Gym, Garden, Playground, Clubhouse",North,Owner,Ready_to_Move
110343,Uttarakhand,Haridwar,Locality_141,Independent House,1,1916,361.41,0.19,2019,Semi-furnished,5,10,6,10,3,Medium,No,No,"Pool, Clubhouse, Gym, Playground",North,Broker,Ready_to_Move
73911,Odisha,Cuttack,Locality_310,Apartment,2,3902,336.39,0.09,1991,Semi-furnished,16,11,34,2,10,High,No,No,"Gym, Pool, Clubhouse, Playground, Garden",West,Owner,Ready_to_Move
53806,Telangana,Warangal,Locality_213,Apartment,5,2816,382.1,0.14,1993,Semi-furnished,17,19,32,6,7,Low,Yes,Yes,"Clubhouse, Playground, Gym",West,Broker,Ready_to_Move
104547,Madhya Pradesh,Bhopal,Locality_280,Villa,5,1582,354.46,0.22,2022,Semi-furnished,23,3,3,7,8,Medium,Yes,Yes,"Playground, Garden, Pool, Clubhouse, Gym",East,Broker,Under_Construction
81816,Rajasthan,Jaipur,Locality_488,Villa,4,4700,169.88,0.04,2012,Furnished,4,3,13,7,8,Medium,No,Yes,"Clubhouse, Garden, Playground, Pool, Gym",West,Builder,Under_Construction
61487,Bihar,Gaya,Locality_479,Apartment,2,1822,492.96,0.27,2010,Semi-furnished,23,30,15,2,4,Medium,No,Yes,"Pool, Playground, Clubhouse",West,Owner,Ready_to_Move
131382,Andhra Pradesh,Vijayawada,Locality_182,Villa,4,2234,185.56,0.08,1990,Semi-furnished,5,10,35,8,6,Low,No,No,"Garden, Gym, Clubhouse, Pool",West,Builder,Under_Construction
57822,Karnataka,Mysore,Locality_77,Villa,3,2912,169.62,0.06,2013,Furnished,28,26,12,7,8,High,Yes,Yes,"Garden, Pool",South,Broker,Ready_to_Move
135769,Karnataka,Mangalore,Locality_374,Independent House,4,4620,28.15,0.01,2020,Semi-furnished,23,25,5,5,7,Low,No,No,"Clubhouse, Playground",North,Broker,Under_Construction
232419,Gujarat,Surat,Locality_164,Apartment,5,1547,334.02,0.22,2000,Semi-furnished,14,12,25,6,1,Medium,Yes,Yes,"Clubhouse, Gym, Garden, Pool, Playground",South,Owner,Ready_to_Move
223035,Punjab,Ludhiana,Locality_187,Villa,3,3784,354.92,0.09,2000,Furnished,29,7,25,1,2,High,Yes,Yes,"Pool, Clubhouse, Garden, Playground, Gym",East,Broker,Ready_to_Move
240410,Andhra Pradesh,Vishakhapatnam,Locality_1,Independent House,5,3401,231.86,0.07,1990,Furnished,29,2,35,10,4,High,No,Yes,"Garden, Playground, Clubhouse, Gym",South,Broker,Ready_to_Move
60298,Kerala,Trivandrum,Locality_166,Apartment,2,2103,390.28,0.19,2013,Unfurnished,13,18,12,4,5,Medium,No,Yes,"Garden, Pool, Playground",North,Broker,Under_Construction
147827,Telangana,Hyderabad,Locality_53,Independent House,3,3611,355.46,0.1,1997,Furnished,17,12,28,7,2,Low,Yes,Yes,"Playground, Pool, Clubhouse",North,Broker,Ready_to_Move
